"PUBID","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH"
230,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
231,-4,-4,-4,-4,-4,-4,1,1,1,1,0,0,0,0,0,0,0
232,-4,-4,-4,-4,-4,-4,-5,-5,-5,-4,-4,-4,-4,-4,-4,-4,-4
233,-4,-4,-4,-4,-4,-4,-4,-4,1,2,2,2,2,2,2,2,2
234,-4,-4,-4,-4,-4,1,1,1,1,1,1,1,1,1,2,3,3
235,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
236,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-4,-4,-4,-4,-4,-4
237,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-4,-4,-4,-4,-4,-4
238,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
239,-4,-4,-4,-5,-4,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
240,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
241,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2
242,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
243,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,1,1,-5,2
